IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
139.144.202.90,587,443,TRUE,LAX,North America,US,Ashburn,461,7.98
154.21.207.78,587,443,TRUE,LAX,North America,US,Ashburn,253,7.98
154.29.155.249,443,443,TRUE,LAX,North America,US,Ashburn,250,7.98
154.9.246.20,587,443,TRUE,LAX,North America,US,Ashburn,336,7.98
157.254.227.37,587,443,TRUE,LAX,North America,US,Ashburn,310,7.97
158.101.28.188,587,443,TRUE,LAX,North America,US,Ashburn,242,7.97
172.232.23.86,587,443,TRUE,LAX,North America,US,Ashburn,247,7.97
192.210.226.196,587,443,TRUE,LAX,North America,US,Ashburn,271,7.96
198.23.146.239,443,443,TRUE,LAX,North America,US,Ashburn,310,7.96
23.95.146.100,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.150.34.152,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.150.34.2,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.22.233.166,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.22.233.234,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.22.233.242,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.22.233.252,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.164,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.165,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.168,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.172,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.173,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.174,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.179,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.76.145.185,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
38.84.203.247,587,443,TRUE,LAX,North America,US,Ashburn,305,7.96
45.33.123.73,587,443,TRUE,LAX,North America,US,Ashburn,305,7.96
45.79.160.41,587,443,TRUE,LAX,North America,US,Ashburn,305,7.96
47.88.90.170,587,443,TRUE,LAX,North America,US,Ashburn,305,7.96
98.142.140.86,587,443,TRUE,LAX,North America,US,Ashburn,305,7.96
150.230.42.80,443,443,TRUE,LAX,North America,US,Ashburn,305,7.96
